INFO:root:Episode: 380, length: 347, reward: -228.89, ewma reward: -301.06, val loss: 142.18, act loss: -317.60
INFO:root:Episode: 400, length: 183, reward: -392.03, ewma reward: -314.09, val loss: 100.76, act loss: -317.86
INFO:root:Episode: 420, length: 299, reward: -250.43, ewma reward: -342.27, val loss: 90.64, act loss: -316.92
INFO:root:Episode: 440, length: 152, reward: -201.21, ewma reward: -259.30, val loss: 86.44, act loss: -314.80
INFO:root:Episode: 460, length: 1000, reward: -194.71, ewma reward: -198.76, val loss: 106.36, act loss: -306.25
INFO:root:Episode: 480, length: 314, reward: -104.28, ewma reward: -137.42, val loss: 103.14, act loss: -302.33
INFO:root:Episode: 500, length: 138, reward: -162.78, ewma reward: -125.99, val loss: 143.46, act loss: -303.17
INFO:root:Episode: 520, length: 1000, reward: -232.64, ewma reward: -163.48, val loss: 130.64, act loss: -302.26
INFO:root:Episode: 540, length: 66, reward: -22.39, ewma reward: -138.18, val loss: 94.08, act loss: -295.72
INFO:root:Episode: 560, length: 1000, reward: -3.39, ewma reward: -126.44, val loss: 81.84, act loss: -281.82
INFO:root:Episode: 580, length: 532, reward: -168.45, ewma reward: -126.75, val loss: 99.90, act loss: -256.08
INFO:root:Episode: 600, length: 259, reward: -168.22, ewma reward: -135.85, val loss: 88.41, act loss: -240.82
INFO:root:Episode: 620, length: 1000, reward: -172.37, ewma reward: -177.11, val loss: 58.71, act loss: -221.38
INFO:root:Episode: 640, length: 1000, reward: -145.58, ewma reward: -148.09, val loss: 46.63, act loss: -176.02
INFO:root:Episode: 660, length: 1000, reward: -31.72, ewma reward: -110.51, val loss: 40.07, act loss: -154.06
INFO:root:Episode: 680, length: 377, reward: -170.50, ewma reward: -62.32, val loss: 32.48, act loss: -133.01
INFO:root:Episode: 700, length: 103, reward: -1.52, ewma reward: -75.36, val loss: 49.20, act loss: -137.43
INFO:root:Episode: 720, length: 1000, reward: 29.05, ewma reward: 2.10, val loss: 32.13, act loss: -107.45
INFO:root:Episode: 740, length: 324, reward: -73.98, ewma reward: 31.03, val loss: 19.53, act loss: -68.05
INFO:root:Episode: 760, length: 456, reward: 152.11, ewma reward: -35.68, val loss: 16.91, act loss: -62.24
INFO:root:Episode: 780, length: 203, reward: -131.74, ewma reward: -49.11, val loss: 22.78, act loss: -73.89
